DEVICEID,DEVICENAME,DEVICETYPE,MANUFACTURER,MODELNUMBER,SERIALNUMBER,MANUFACTURINGDATE,EXPIRATIONDATE,DEVICESTATUS,DEVICEVERSION,SOFTWAREVERSION,REGULATORYAPPROVAL,APPROVALDATE,LASTMAINTENANCEDATE,NEXTMAINTENANCEDATE,WARRANTYSTARTDATE,WARRANTYENDDATE,PURCHASEDATE,PURCHASEPRICE,BUSINESSUNIT
15,Ventilife 5000,Ventilator,LifeCare,VL5000,LC234567,2023-07-15,2028-07-15,Active,2.5,3.0,FDA,2023-07-01,2024-07-01,2025-07-01,2023-07-15,2028-07-15,2023-07-01,12000.00,Critical Care
16,SynthoWave 2000,Glucose Monitor,GlucoTech,GT2000,GT567890,2023-08-20,2028-08-20,Active,1.8,2.2,CE Mark,2023-08-01,2024-08-01,2025-08-01,2023-08-20,2028-08-20,2023-08-01,3500.00,Diabetes Care
17,MusculoScan 1000,Muscle Scanner,MuscleTech,MS1000,MT123456,2023-09-25,2028-09-25,Active,1.2,1.5,FDA,2023-09-01,2024-09-01,2025-09-01,2023-09-25,2028-09-25,2023-09-01,5000.00,Orthopedics
18,VascuCheck 500,Vascular Monitor,VascuCare,VC500,VC567890,2023-10-30,2028-10-30,Active,1.5,2.0,CE Mark,2023-10-01,2024-10-01,2025-10-01,2023-10-30,2028-10-30,2023-10-01,4200.00,Vascular Therapy
19,NexGen 4000,Biomedical Device,BioTech,NG4000,BT456789,2023-08-05,2028-08-05,Active,2.0,2.5,FDA,2023-08-01,2024-08-01,2025-08-01,2023-08-05,2028-08-05,2023-08-01,7000.00,Medical-Surgical Solutions
20,QuantumMatrix,Healthcare Device,MediTech,QM2000,MT234567,2023-09-10,2028-09-10,Active,1.5,2.0,CE Mark,2023-09-01,2024-09-01,2025-09-01,2023-09-10,2028-09-10,2023-09-01,6500.00,Renal Care
21,VitaSphere 3000,Health Monitor,VitaLife,VS3000,VL567890,2023-10-15,2028-10-15,Active,2.5,3.0,FDA,2023-10-01,2024-10-01,2025-10-01,2023-10-15,2028-10-15,2023-10-01,8000.00,Neuromodulation
22,ZenithPro,Monitoring System,ZenTech,ZP1000,ZT123456,2023-11-20,2028-11-20,Active,2.0,2.5,CE Mark,2023-11-01,2024-11-01,2025-11-01,2023-11-20,2028-11-20,2023-11-01,6000.00,Diabetes Care
23,FlexiTech 2000,Healthcare System,FlexiMed,FT2000,FM567890,2023-12-25,2028-12-25,Active,1.8,2.2,FDA,2023-12-01,2024-12-01,2025-12-01,2023-12-25,2028-12-25,2023-12-01,7500.00,Orthopedics
24,ProHealthPlus,Medical Device,LifeCare,PHP5000,LC234567,2024-01-30,2029-01-30,Active,2.2,2.7,CE Mark,2024-01-01,2025-01-01,2026-01-01,2024-01-30,2029-01-30,2024-01-01,9000.00,Cardiovascular Devices
25,NovaWave 6000,Medical Equipment,MediTech,NW6000,MT123456,2024-02-05,2029-02-05,Active,2.5,3.0,FDA,2024-02-01,2025-02-01,2026-02-01,2024-02-05,2029-02-05,2024-02-01,8500.00,Neuromodulation
26,SpectraMed 3000,Health Monitoring System,BioCare,SM3000,BC234567,2024-03-10,2029-03-10,Active,1.8,2.2,CE Mark,2024-03-01,2025-03-01,2026-03-01,2024-03-10,2029-03-10,2024-03-01,7500.00,Cardiovascular Devices
27,AlphaSense,Medical Device,MediSys,AS1000,MS567890,2024-04-15,2029-04-15,Active,1.5,2.0,FDA,2024-04-01,2025-04-01,2026-04-01,2024-04-15,2029-04-15,2024-04-01,6000.00,Critical Care
28,EchoCare 8000,Diagnostic Equipment,EchoTech,EC8000,ET123456,2024-05-20,2029-05-20,Active,2.2,2.7,CE Mark,2024-05-01,2025-05-01,2026-05-01,2024-05-20,2029-05-20,2024-05-01,8000.00,Diagnostic Imaging
29,BioFlex 4000,Medical Device,BioTech,BF4000,BT456789,2024-06-25,2029-06-25,Active,2.0,2.5,FDA,2024-06-01,2025-06-01,2026-06-01,2024-06-25,2029-06-25,2024-06-01,7000.00,Renal Care
30,NeuroSense 2000,Neurological Device,NeuroTech,NS2000,NT234567,2024-07-30,2029-07-30,Active,1.5,2.0,CE Mark,2024-07-01,2025-07-01,2026-07-01,2024-07-30,2029-07-30,2024-07-01,5500.00,Neuromodulation
31,XenoGenix 5000,Biomedical Equipment,BioCorp,XG5000,BC123456,2024-08-05,2029-08-05,Active,2.0,2.5,FDA,2024-08-01,2025-08-01,2026-08-01,2024-08-05,2029-08-05,2024-08-01,7500.00,Vascular Therapy
32,QuantaDrive,Healthcare Device,QuantumMed,QD3000,QM234567,2024-09-10,2029-09-10,Active,1.5,2.0,CE Mark,2024-09-01,2025-09-01,2026-09-01,2024-09-10,2029-09-10,2024-09-01,6000.00,Neuromodulation
33,VeloScan 2000,Diagnostic System,VeloTech,VS2000,VT567890,2024-10-15,2029-10-15,Active,2.5,3.0,FDA,2024-10-01,2025-10-01,2026-10-01,2024-10-15,2029-10-15,2024-10-01,8500.00,Critical Care
34,BioPulse 3.8,Monitoring System,OmniHealth,OLP1000,OH123456,2024-11-20,2029-11-20,Active,2.0,2.5,CE Mark,2024-11-01,2025-11-01,2026-11-01,2024-11-20,2029-11-20,2024-11-01,7000.00,Diagnostic Imaging
35,CryoTech 4000,Therapeutic Device,CryoMed,CT4000,CM234567,2024-12-25,2029-12-25,Active,1.8,2.2,FDA,2024-12-01,2025-12-01,2026-12-01,2024-12-25,2029-12-25,2024-12-01,8000.00,Orthopedics
36,VitaScan 1000,Health Monitor,VitaCare,VS1000,VC567890,2025-01-30,2030-01-30,Active,2.2,2.7,CE Mark,2025-01-01,2026-01-01,2027-01-01,2025-01-30,2030-01-30,2025-01-01,9000.00,Diabetes Care
37,EvoTech 7000,Biometric Device,BioSync,ET7000,BS123456,2025-02-05,2030-02-05,Active,2.0,2.5,FDA,2025-02-01,2026-02-01,2027-02-01,2025-02-05,2030-02-05,2025-02-01,7600.00,Neuromodulation
38,NebulaSync,Healthcare Monitor,NebulaMed,NS3000,NM234567,2025-03-10,2030-03-10,Active,1.5,2.0,CE Mark,2025-03-01,2026-03-01,2027-03-01,2025-03-10,2030-03-10,2025-03-01,6200.00,Cardiovascular Devices
39,SynthraSys 9000,Patient Monitoring Device,SynthraMed,SS9000,SM567890,2025-04-15,2030-04-15,Active,2.5,3.0,FDA,2025-04-01,2026-04-01,2027-04-01,2025-04-15,2030-04-15,2025-04-01,8800.00,Critical Care
40,TechVision Pro,Healthcare System,TechMed,TVP1000,TM123456,2025-05-20,2030-05-20,Active,2.0,2.5,CE Mark,2025-05-01,2026-05-01,2027-05-01,2025-05-20,2030-05-20,2025-05-01,7200.00,Diagnostic Imaging
41,MediSync 6000,Therapeutic Equipment,MediTech,MS6000,MT234567,2025-06-25,2030-06-25,Active,1.8,2.2,FDA,2025-06-01,2026-06-01,2027-06-01,2025-06-25,2030-06-25,2025-06-01,8200.00,Orthopedics
42,AquaSense 2000,Health Tracker,AquaCare,AS2000,AC567890,2025-07-30,2030-07-30,Active,2.2,2.7,CE Mark,2025-07-01,2026-07-01,2027-07-01,2025-07-30,2030-07-30,2025-07-01,9200.00,Vascular Therapy
43,Xerocore 2000,Biomedical Device,XeroMed,XC2000,XM123456,2025-02-05,2030-02-05,Active,2.0,2.5,FDA,2025-02-01,2026-02-01,2027-02-01,2025-02-05,2030-02-05,2025-02-01,7600.00,Neuromodulation
44,FlexiCore 600,Healthcare Monitor,InnoTech,IP5000,IT234567,2025-03-10,2030-03-10,Active,1.5,2.0,CE Mark,2025-03-01,2026-03-01,2027-03-01,2025-03-10,2030-03-10,2025-03-01,6200.00,Cardiovascular Devices
45,MediPulse 7000,Patient Monitoring System,MediTech,MP7000,MT567890,2025-04-15,2030-04-15,Active,2.5,3.0,FDA,2025-04-01,2026-04-01,2027-04-01,2025-04-15,2030-04-15,2025-04-01,8800.00,Critical Care
46,TechNova 3000,Healthcare System,TechMed,TN3000,TM123456,2025-05-20,2030-05-20,Active,2.0,2.5,CE Mark,2025-05-01,2026-05-01,2027-05-01,2025-05-20,2030-05-20,2025-05-01,7200.00,Diagnostic Imaging
47,SynthoGen 4000,Therapeutic Equipment,SynthoMed,SG4000,SM234567,2025-06-25,2030-06-25,Active,1.8,2.2,FDA,2025-06-01,2026-06-01,2027-06-01,2025-06-25,2030-06-25,2025-06-01,8200.00,Orthopedics
48,NeuraScan 1000,Health Monitor,NeuraCare,NS1000,NC567890,2025-07-30,2030-07-30,Active,2.2,2.7,CE Mark,2025-07-01,2026-07-01,2027-07-01,2025-07-30,2030-07-30,2025-07-01,9200.00,Vascular Therapy
49,BioSpectra 8000,Healthcare Device,BioTech,BS8000,BT123456,2025-08-05,2030-08-05,Active,2.0,2.5,FDA,2025-08-01,2026-08-01,2027-08-01,2025-08-05,2030-08-05,2025-08-01,7600.00,Neuromodulation
50,EcoView 6000,Healthcare Monitor,EcoMed,EV6000,EM234567,2025-09-10,2030-09-10,Active,1.5,2.0,CE Mark,2025-09-01,2026-09-01,2027-09-01,2025-09-10,2030-09-10,2025-09-01,6200.00,Cardiovascular Devices
51,MediLink Pro,Patient Monitoring System,MediTech,MLP1000,MT567890,2025-10-15,2030-10-15,Active,2.5,3.0,FDA,2025-10-01,2026-10-01,2027-10-01,2025-10-15,2030-10-15,2025-10-01,8800.00,Critical Care
52,TechSync 2000,Healthcare System,TechMed,TS2000,TM123456,2025-11-20,2030-11-20,Active,2.0,2.5,CE Mark,2025-11-01,2026-11-01,2027-11-01,2025-11-20,2030-11-20,2025-11-01,7200.00,Diagnostic Imaging
53,SynthoPulse 3000,Therapeutic Equipment,SynthoMed,SP3000,SM234567,2025-12-25,2030-12-25,Active,1.8,2.2,FDA,2025-12-01,2026-12-01,2027-12-01,2025-12-25,2030-12-25,2025-12-01,8200.00,Orthopedics
54,NeuraSync 4000,Health Monitor,NeuraCare,NS4000,NC567890,2026-01-30,2031-01-30,Active,2.2,2.7,CE Mark,2026-01-01,2027-01-01,2028-01-01,2026-01-30,2031-01-30,2026-01-01,9200.00,Vascular Therapy
